8/7p/3R2p1/2p1pkP1/7P/P4PK1/1r6/3q4 b - - 7 46,#-2
8/7p/2R3p1/2p1pkP1/7P/P4PK1/1r6/3q4 b - - 7 46,#-2
8/7p/1R4p1/2p1pkP1/7P/P4PK1/1r6/3q4 b - - 7 46,#-2
8/7p/6p1/R1p1pkP1/7P/P4PK1/1r6/3q4 b - - 7 46,#-2
8/7p/6p1/2p1pkP1/R6P/P4PK1/1r6/3q4 b - - 7 46,#-2
8/7p/R5p1/2p1pkP1/7P/P4P1K/1r6/3q4 b - - 7 46,#-1
8/7p/R5p1/2p1pkPP/8/P4PK1/1r6/3q4 b - - 0 46,#-2
8/7p/R5p1/2p1pkP1/5P1P/P5K1/1r6/3q4 b - - 0 46,#-1
8/7p/R5p1/2p1pkP1/P6P/5PK1/1r6/3q4 b - - 0 46,#-2
5k2/4n1b1/3N1r1p/r2b2p1/2p5/3p4/P4PPP/1RB1R1K1 w - - 3 28,#+2
4Nk2/4n1b1/5r1p/r2b2p1/2p5/3p4/P4PPP/1RB1R1K1 b - - 4 28,-678
2N2k2/4n1b1/5r1p/r2b2p1/2p5/3p4/P4PPP/1RB1R1K1 b - - 4 28,-626
5k2/4nNb1/5r1p/r2b2p1/2p5/3p4/P4PPP/1RB1R1K1 b - - 4 28,-708
5k2/1N2n1b1/5r1p/r2b2p1/2p5/3p4/P4PPP/1RB1R1K1 b - - 4 28,-602
5k2/4n1b1/5r1p/r2b1Np1/2p5/3p4/P4PPP/1RB1R1K1 b - - 4 28,-642
5k2/4n1b1/5r1p/rN1b2p1/2p5/3p4/P4PPP/1RB1R1K1 b - - 4 28,-563
5k2/4n1b1/5r1p/r2b2p1/2p1N3/3p4/P4PPP/1RB1R1K1 b - - 4 28,-631
5k2/4n1b1/5r1p/r2b2p1/2N5/3p4/P4PPP/1RB1R1K1 b - - 0 28,-546
5k2/4n1b1/3N1r1p/r2b2p1/2p5/3p4/P4PPP/1RB1R2K b - - 4 28,-735
5k2/4n1b1/3N1r1p/r2b2p1/2p5/3p4/P4PPP/1RB1RK2 b - - 4 28,-739
